5714,Aberdeen Regional Airport,Aberdeen,United States,ABR,KABR,45.449100,-98.421799
3718,Abilene Regional Airport,Abilene,United States,ABI,KABI,32.411301,-99.681900
4336,Abraham Lincoln Capital Airport,Springfield,United States,SPI,KSPI,39.844101,-89.677902
3471,Acadiana Regional Airport,Louisiana,United States,ARA,KARA,30.037800,-91.883904
5959,Adak Airport,Adak Island,United States,ADK,PADK,51.877998,-176.645996
7513,Addison Airport,Addison,United States,ADS,KADS,32.968601,-96.836403
5770,Adirondack Regional Airport,Saranac Lake,United States,SLK,KSLK,44.385300,-74.206200
8515,Aiken Municipal Airport,Aiken,United States,AIK,KAIK,33.649399,-81.684998
8874,Ak-Chin Regional Airport,Phoenix,United States,A39,KA39,32.990806,-111.918528
7160,Akhiok Airport,Akhiok,United States,AKK,PAKH,56.938702,-154.182999
7217,Akiak Airport,Akiak,United States,AKI,PFAK,60.902901,-161.231003
4112,Akron Canton Regional Airport,Akron,United States,CAK,KCAK,40.916100,-81.442200
3587,Akron Fulton International Airport,Akron,United States,AKC,KAKR,41.037498,-81.466904
7199,Alakanuk Airport,Alakanuk,United States,AUK,PAUK,62.680042,-164.659927
5717,Alamogordo White Sands Regional Airport,Alamogordo,United States,ALM,KALM,32.839901,-105.990997
3864,Albany International Airport,Albany,United States,ALB,KALB,42.748299,-73.801697
4386,Albert J Ellis Airport,Jacksonville NC,United States,OAJ,KOAJ,34.829201,-77.612099
3548,Albert Whitted Airport,St. Petersburg,United States,SPG,KSPG,27.765100,-82.626999
4019,Albuquerque International Sunport Airport,Albuquerque,United States,ABQ,KABQ,35.040199,-106.609001
6126,Aleknagik / New Airport,Aleknagik,United States,WKK,5A8,59.282600,-158.617996
3852,Alexandria International Airport,Alexandria,United States,AEX,KAEX,31.327400,-92.549797
3574,Alice International Airport,Alice,United States,ALI,KALI,27.740900,-98.026901
6839,Allakaket Airport,Allakaket,United States,AET,PFAL,66.551804,-152.621994
7495,Allegheny County Airport,Pittsburgh,United States,AGC,KAGC,40.354401,-79.930199
7067,Alliance Municipal Airport,Alliance,United States,AIA,KAIA,42.053200,-102.804001
5720,Alpena County Regional Airport,Alpena,United States,APN,KAPN,45.078098,-83.560303
10107,Alpine Casparis Municipal Airport,Alpine,United States,E38,KE38,30.384199,-103.683998
3694,Altoona Blair County Airport,Altoona,United States,AOO,KAOO,40.296398,-78.320000
7177,Ambler Airport,Ambler,United States,ABL,PAFM,67.106300,-157.856995
6712,Anaktuvuk Pass Airport,Anaktuvuk Pass,United States,AKP,PAKP,68.133598,-151.742996
3466,Anderson Regional Airport,Andersen,United States,AND,KAND,34.494598,-82.709396
3651,Angelina County Airport,Lufkin,United States,LFK,KLFK,31.233999,-94.750000
5967,Aniak Airport,Aniak,United States,ANI,PANI,61.581600,-159.542999
7021,Ankeny Regional Airport,Ankeny,United States,IKV,KIKV,41.691399,-93.566399
8989,Ann Arbor Municipal Airport,Ann Arbor,United States,ARB,KARB,42.223000,-83.745598
3477,Annette Island Airport,Annette Island,United States,ANN,PANT,55.042400,-131.572006
3485,Anniston Metropolitan Airport,Anniston,United States,ANB,KANB,33.588200,-85.858101
6713,Anvik Airport,Anvik,United States,ANV,PANV,62.646702,-160.190994
8252,Apalachicola Regional Airport,Apalachicola,United States,AAF,KAAF,29.727501,-85.027496
4047,Appleton International Airport,Appleton,United States,ATW,KATW,44.258099,-88.519096
8077,Aransas County Airport,Rockport,United States,RKP,KRKP,28.086800,-97.044601
4384,Arcata Airport,Arcata CA,United States,ACV,KACV,40.978100,-124.109001
6729,Arctic Village Airport,Arctic Village,United States,ARC,PARC,68.114700,-145.578995
3654,Ardmore Municipal Airport,Ardmore,United States,ADM,KADM,34.303010,-97.019634
3523,Arkansas International Airport,Blytheville,United States,BYH,KBYH,35.964298,-89.944000
7846,Arlington Municipal Airport,Arlington,United States,GKY,KGKY,32.663898,-97.094299
